TLName,EmailID,MobileNo,TLGender,TLHobbies,TLDesignation,Age,City
Abdul_TL,qat.autores06@resulticksmail.com,9.20E+11,Male,Painting,Business Analyst,30,Chennai
Abdul_TLIdea,qat.autores09@resulticksmail.com,9.19E+11,Male,Playing,Business Analyst,29,Chennai
Vijay,qat.autores02@resulticksmail.com,9.19E+11,Male,Playing,Developer,28,Mumbai
KarthikeyanS_TL,qat.autores08@resulticksmail.com,9.20E+11,Male,Painting,Developer,32,Mumbai
Dinesh,rsltks5.dinesh@gmail.com,9.20E+11,Male,Playing,Business Analyst,22,Chennai
Arun,abdulkhaderitkt@gmail.com,9.18E+11,Male,Playing,Business Analyst,40,Pune
Arunkumar,useritkt02@gmail.com,9.19E+11,Male,Reading,Business Analyst,24,Delhi
Anusha,useritkt03@gmail.com,9.20E+11,Female,Playing,Business Analyst,27,Delhi
Vimal,vv3result@gmail.com,9.19E+11,Male,Playing,Business Analyst,22,Bangalore
Bharath,rsltks4.jeevan@gmail.com,9.19E+11,Male,Playing,Developer,28,Mumbai
Jeevan,rsltks2.jeevan@gmail.com,9.18E+11,Male,Playing,Business Analyst,15,Chennai
Manimaran,mm5.result@gmail.com,9.19E+11,Male,Playing,Business Analyst,25,Pune
Jasmine,jasmineitkt@gmail.com,9.20E+11,Female,Playing,Business Analyst,38,Chennai
BharatManiraj,bmr1result@gmail.com,9.19E+11,Male,Playing,Developer,35,Mumbai
GopiChand,qat.autores03@resulticksmail.com,9.17E+11,Male,Playing,Business Analyst,50,Korukkupet
Karpagam,kdp1result@gmail.com,9.19E+11,Female,Reading,Developer,24,Delhi
Swapna,useritkt01@gmail.com,9.19E+11,Female,Playing,Developer,27,AndhraPradesh
Ganeshan T Vinod,resul1.vinod@gmail.com,9.19E+11,Male,Reading,Developer,42,AndhraPradesh
Gokul,gokulresulticks@gmail.com,9.20E+11,Male,Reading,Developer,37,Delhi
Ayush S Kadam,ayush.sk1501@mail.com,9.18E+11,Male,Reading,Developer,40,Pune
