TLName,EmailID
Abdul_TL,qat.autores06@resulticksmail.com
Abdul_TLIdea,qat.autores09@resulticksmail.com
Vijay,qat.autores02@resulticksmail.com
KarthikeyanS_TL,qat.autores08@resulticksmail.com
Dinesh,rsltks5.dinesh@gmail.com
Arun,abdulkhaderitkt@gmail.com
Arunkumar,useritkt02@gmail.com
Anusha,useritkt03@gmail.com
Vimal,vv3result@gmail.com
Bharath,rsltks4.jeevan@gmail.com
Jeevan,rsltks2.jeevan@gmail.com
Manimaran,mm5.result@gmail.com
Jasmine,jasmineitkt@gmail.com
AjithKumar,qat.autores04@resulticksmail.com
BharatManiraj,bmr1result@gmail.com
Ajith 2,gopichandp181@gmail.com
GopiChand,qat.autores03@resulticksmail.com
Karpagam,kdp1result@gmail.com
Swapna,useritkt01@gmail.com
Ganeshan T Vinod,resul1.vinod@gmail.com
Gokul,gokulresulticks@gmail.com
Ayush S Kadam,ayush.sk1501@mail.com
