EmailID,Name,MobileNo,City,TLHobbies,TLDesignation
rsltks2.jeevan@gmal.com,Jeevankumar,918247423735,Chennai,Painting,Business Analyst
rsltks1.jeevan@gmal.com,Bharath,918608221354,Madurai,Playing,Business Analyst
rsltks4.jeevan@gmal.com,Karpagam,919342473680,Chennai,Playing,Developer
yogeshthiru2003@gmail.com,YogeshAuto,919884096287,Mumbai,Painting,Developer
qat.autores08@resulticksmail.com,Ajith,919384988768,Mumbai,Playing,Business Analyst
yogeshresul05@gmail.com,Yogesh T,919150497301,Chennai,Playing,Business Analyst
yogeshthiru18@gmail.com,YogeshThiru,919884096287,Chennai,Reading,Business Analyst
yogeshresul09@gmail.com,Yogeshwaran,919043046817,Chennai,Playing,Business Analyst
resulttestvj@gmail.com,Vijay,919150497301,Mumbai,Playing,Business Analyst
gokulresulticks@gmail.com,Gokul,919940333191,Kolkata,Playing,Developer
 vbnk79@resulticksmail.com,Santhameena,918148692807,Mumbai,Playing,Business Analyst
 vbnk86@resulticksmail.com,Yogeshwaran,919884096287,Mumbai,Playing,Business Analyst
 vbnk78@resulticksmail.com,Avinash ,918610819571,Chennai,Playing,Business Analyst
 vbnk76@resulticksmail.com,Stanely,919840351932,Kolkata,Playing,Business Analyst
rahul.resul01@gmail.com,Rahul,919566261627,Chennai,Playing,Developer
rahul.resul02@gmail.com,Saranya,919551153640,Kolkata,Playing,Developer
n.naveetest001@gmail.com,Naveen,919486214388,Chennail,Playing,Business Analyst
avinashresul01@gmail.com,Avinash ,918610819571,Chennai,Reading,Developer
 qat.autores07@resulticksmail.com,Yogeshwaran,919884096287,Chennai,Reading,Developer
 qat.autores09@resulticksmail.com,Gokul,919940333191,Chennai,Reading,Developer
 vbnk77@resulticksmail.com,Fronick,917358678981,Chennai,Playing,Business Analyst
