EmailID,Name,MobileNo,Gender,Age,City,Designation,SLSports
bmr1result@gmail.com,Bharath1,918608221354,Male,23,Chennai,Testing,Badminton
bmr2,Bharath2,917904239679,Female,24,Chennai,Testing,Kho-Kho
bmr3result@gmail.com,Karpagam,919342473680,Male,27,Chennai,Testing,Kabbadi
bmr4res,Dinesh Babu,919944,Female,28,Chennai,Testing,Hockey
bmr5result@gmail.com,Vimalrajan,919361600402,Female,30,Chennai,Testing,Cricket
bmr6result@gmail.com,Rahul,9195662,Male,20,Chennai,Testing,Cricket
bmr7res,Arun Kumar,9190946,Female,35,Mumbai,Developer,Badminton
bmr8result@gmail.com,Dinesh Babu,9199448,Female,25,Mumbai,Developer,Badminton
bmrr9esult@gmail.com,Jasmine Santhiya,9195243,Female,26,Mumbai,Developer,Kho-Kho
bmr10result@gmail.com,Bharath M,91805693,Male,25,Mumbai,Developer,Cricket
bmr11result@gmail.com,Anusha,9198945,Female,22,Mumbai,Developer,Badminton
bmr12result@gmail.com,GopiChand,917358085855,Male,21,Mumbai,Developer,Badminton
bmr13result@gmail.com,Vijay,919150497301,Male,26,Mumbai,Developer,Football
bmr14result@gmail.com,Jeevan Kumar,918247423735,Male,30,Chennai,Testing,Cricket
bmr15result@gmail.com,Ajith Kumar,919384988768,Male,25,Chennai,Testing,Cricket
bmr16result@gmail.com,Manimaran,919344627856,Male,20,Mumbai,Developer,Football
bmr17result@gmail.com,Vijay J,919840402877,Male,27,Mumbai,Developer,Cricket
